cyclomatic_complexity,cognitive_complexity,lines_of_code,comment_ratio,function_count,class_count,max_nesting_depth,avg_function_length,parameters_per_function,halstead_difficulty,halstead_effort,halstead_volume,maintainability_index,duplicate_ratio,coupling_score,import_count,has_error_handling,has_type_hints,test_coverage,has_bug
49,42,1866,0.017,21,5,4,45.1,4.4,9.04,119233.53,5031.3,25.36,0.309,6.4,3,1,1,26.7,1
26,31,1781,0.414,27,1,3,9.8,4.9,95.47,268795.73,6207.84,42.29,0.027,13.9,14,1,1,73.8,1
50,45,803,0.092,19,4,0,33.3,5.5,94.85,372641.22,8570.43,31.96,0.073,12.3,1,1,0,6.7,1
36,29,1857,0.29,29,1,2,19.2,0.2,54.49,414743.77,975.31,28.37,0.362,14.0,8,1,1,3.8,1
16,33,296,0.203,21,8,2,25.5,1.9,80.45,277556.92,5008.2,21.83,0.286,2.7,20,0,1,28.1,1
48,16,1898,0.162,18,10,5,61.1,2.1,96.04,83051.94,1929.29,44.91,0.359,12.5,26,0,0,92.6,1
50,69,1040,0.212,23,10,8,33.7,7.4,91.82,105969.37,9902.59,55.68,0.46,3.8,10,1,1,47.0,1
12,70,771,0.011,28,7,4,90.9,4.2,52.22,295127.65,3793.45,79.11,0.119,3.4,15,0,1,62.5,1
35,19,560,0.366,24,4,0,92.1,3.9,38.97,426544.41,9938.92,78.32,0.14,18.7,11,1,0,99.7,1
8,47,536,0.315,3,1,0,61.1,0.1,91.71,45532.38,4141.39,81.02,0.44,10.0,9,1,1,5.4,1
30,20,244,0.404,30,6,3,8.3,3.0,62.47,497203.8,9130.85,21.85,0.15,18.9,6,1,1,50.1,1
14,41,502,0.379,14,2,0,86.4,7.4,66.97,407008.85,3309.92,12.76,0.394,13.7,19,1,0,28.6,1
47,47,1295,0.317,13,1,3,99.9,2.8,67.39,68022.23,5333.56,27.15,0.252,4.2,8,0,0,0.3,1
49,6,1676,0.321,30,9,4,70.2,2.1,40.62,10864.11,1580.68,90.71,0.459,4.8,7,1,1,37.3,1
24,58,882,0.489,24,8,0,20.7,0.2,80.37,87699.67,4841.87,65.88,0.355,3.5,15,1,0,51.4,1
3,64,462,0.179,8,5,3,84.6,4.1,2.66,241672.51,9133.45,73.86,0.493,18.1,19,0,1,74.6,1
42,22,1840,0.37,16,3,3,92.4,5.3,79.96,381148.94,3940.92,98.24,0.064,4.8,22,1,1,31.4,1
39,54,341,0.144,26,6,7,11.3,4.2,35.06,457095.61,9115.38,63.17,0.487,15.6,8,1,1,93.3,1
6,28,1957,0.137,2,6,7,47.1,0.4,58.08,478779.89,944.36,55.29,0.332,18.9,10,0,1,31.0,1
49,31,1808,0.425,10,9,6,7.0,0.6,63.73,389390.55,137.67,36.82,0.492,14.9,8,0,0,72.8,1
18,12,1160,0.233,13,9,3,64.5,0.0,9.46,234821.99,3680.58,33.5,0.079,16.4,20,0,1,42.4,1
15,15,1112,0.348,28,5,8,28.8,7.3,50.18,313892.51,7088.49,98.58,0.314,6.6,18,0,1,59.2,1
27,66,812,0.42,27,4,3,89.2,3.0,21.61,427755.09,961.53,41.0,0.154,4.7,13,1,0,45.5,1
21,61,966,0.177,8,7,1,49.3,7.8,13.99,112161.35,349.27,40.16,0.157,8.6,29,0,0,17.2,1
25,2,1927,0.341,1,3,0,68.9,6.2,13.88,262520.22,6963.51,18.61,0.411,2.4,21,0,0,72.8,1
13,15,134,0.158,15,6,1,65.9,5.2,43.14,173196.41,3510.42,53.95,0.403,5.7,7,1,1,90.1,1
15,67,960,0.212,11,3,4,89.7,2.9,85.65,71992.71,69.08,25.77,0.116,17.7,5,1,0,65.1,1
13,57,1184,0.247,16,0,1,93.9,6.5,38.55,66057.65,4752.47,40.73,0.006,0.0,4,1,1,65.6,1
47,47,119,0.36,17,0,4,5.0,3.3,25.95,47439.94,9358.76,25.14,0.247,11.5,15,0,0,94.5,1
32,20,1870,0.459,24,3,6,66.7,3.3,99.01,97786.72,3272.58,40.98,0.209,12.2,2,0,1,9.4,1
41,21,1222,0.285,4,5,7,97.9,3.4,78.33,394155.53,171.59,61.28,0.237,15.2,6,0,1,69.5,1
4,28,12,0.021,19,4,5,26.8,1.5,63.91,56944.17,2334.94,30.56,0.191,13.8,7,0,1,98.5,1
15,44,1483,0.478,13,3,3,4.2,1.0,61.2,21245.31,6200.12,60.13,0.192,11.5,0,0,1,70.3,1
6,54,1890,0.487,2,7,4,9.8,3.8,16.72,437189.62,5735.41,93.87,0.218,8.4,1,0,0,7.4,1
12,24,1956,0.03,13,8,4,53.6,2.3,8.78,364787.37,9607.03,49.93,0.303,12.5,29,0,0,1.3,1
18,49,176,0.319,10,3,7,80.0,4.4,10.95,118666.05,3085.86,92.59,0.287,13.5,30,0,1,80.2,1
48,31,123,0.019,27,2,8,37.7,0.1,14.02,178609.39,2319.27,87.79,0.135,2.5,19,0,1,65.7,1
43,3,468,0.228,28,8,2,54.1,0.6,48.9,268105.74,9344.32,35.3,0.228,16.1,7,1,0,26.9,1
42,36,1675,0.241,8,0,1,30.5,4.4,88.98,250596.21,1471.42,17.41,0.45,19.0,15,0,0,68.1,1
8,78,1093,0.304,12,2,0,42.8,7.8,27.95,331283.21,9375.84,21.23,0.005,6.5,28,0,1,81.3,1
42,53,518,0.17,24,4,7,53.0,0.3,99.55,222258.96,654.35,65.49,0.2,11.1,20,0,0,19.7,1
21,73,1339,0.484,19,5,4,88.9,0.4,54.86,288702.86,5598.27,17.48,0.038,2.3,0,1,0,69.3,1
2,39,698,0.031,28,4,1,19.9,2.9,32.48,415376.3,9001.78,36.35,0.064,16.5,3,1,1,80.4,1
40,60,945,0.25,24,5,1,58.9,0.8,81.02,277901.4,4078.15,74.25,0.423,8.3,12,1,1,11.5,1
33,35,540,0.146,26,1,8,58.8,2.3,73.44,15794.66,7257.96,86.17,0.187,6.6,0,0,1,43.4,1
50,39,958,0.346,10,1,5,21.9,7.1,12.93,254371.69,2452.75,61.81,0.217,13.3,4,1,0,80.4,1
36,58,127,0.211,13,2,2,13.1,4.0,18.37,460775.75,665.85,53.92,0.103,17.5,1,0,1,85.6,1
19,24,1561,0.411,26,2,6,53.6,3.0,90.44,165185.55,3101.75,44.55,0.111,4.4,12,0,1,50.3,1
42,19,1206,0.156,16,7,2,6.8,5.0,52.46,390779.7,6110.04,22.83,0.294,13.7,17,0,0,13.7,1
35,63,1388,0.277,27,5,7,25.6,1.4,59.44,195001.4,5148.22,21.31,0.458,14.0,15,1,0,24.3,1
2,3,1424,0.113,23,2,5,43.3,5.6,76.22,307051.94,8469.19,70.91,0.257,3.0,6,1,1,62.6,1
38,67,1751,0.113,2,0,7,84.5,2.4,24.88,81020.25,7252.26,25.72,0.198,14.4,17,0,1,72.0,1
16,56,1569,0.261,18,1,4,32.7,0.3,51.26,487022.8,9543.89,37.89,0.134,2.5,28,1,0,48.8,1
35,36,1096,0.338,29,6,5,81.7,0.1,83.52,219007.81,4953.93,32.45,0.159,4.5,10,1,1,55.3,1
7,3,299,0.128,6,7,3,79.3,4.2,17.91,197127.32,7932.12,20.72,0.428,8.1,24,1,1,71.2,1
45,11,1307,0.049,5,10,4,66.9,7.1,78.0,363762.02,7785.99,11.54,0.32,9.5,27,0,0,43.1,1
13,31,1035,0.12,21,8,1,12.4,3.0,54.01,150121.74,1972.64,58.82,0.231,18.6,25,1,1,34.7,1
46,56,755,0.423,6,4,3,99.6,6.4,56.53,470883.9,8802.0,93.5,0.03,12.8,30,0,1,10.0,1
25,61,15,0.419,18,4,8,17.8,0.8,79.35,4875.5,822.55,19.08,0.064,8.2,10,0,1,75.2,1
43,46,637,0.057,21,0,2,20.1,7.1,90.08,195962.94,3308.28,68.58,0.202,15.2,4,1,0,18.4,1
40,65,288,0.292,23,0,8,4.5,1.9,32.16,377298.95,84.66,79.14,0.472,13.5,24,0,1,89.4,1
48,12,1001,0.389,10,2,6,26.4,6.0,39.37,196800.58,6422.83,65.39,0.003,4.2,20,0,0,77.7,1
2,8,1964,0.034,28,4,4,57.2,7.3,29.19,123961.25,4639.7,57.01,0.329,0.6,18,1,0,22.6,1
33,74,1205,0.215,4,6,5,83.4,2.3,89.25,154541.8,8223.02,65.74,0.485,19.8,6,1,1,84.4,1
28,17,1713,0.363,6,7,6,25.1,5.0,36.78,167581.54,7730.23,28.63,0.005,14.3,5,0,1,49.8,1
26,8,1918,0.283,28,3,1,79.7,6.0,40.32,308407.83,790.96,38.98,0.144,8.0,11,0,0,28.8,1
42,78,1363,0.153,14,4,0,70.4,0.4,70.79,415426.41,9595.51,43.8,0.051,10.6,26,1,0,34.7,1
23,17,813,0.294,11,4,5,80.0,7.5,32.68,205707.95,5184.53,80.43,0.489,16.3,4,1,1,90.4,1
20,44,45,0.259,23,5,8,5.8,1.8,58.66,102548.66,7402.26,23.54,0.303,14.6,8,1,0,52.6,1
47,77,1369,0.013,24,10,6,92.9,7.2,63.09,385322.46,1619.88,91.84,0.004,15.7,2,1,1,56.7,1
43,62,109,0.006,22,7,7,63.2,7.5,45.14,324880.14,5541.66,12.92,0.134,14.6,0,1,1,8.7,1
36,45,198,0.175,29,9,6,18.3,4.1,57.24,1298.53,5824.64,61.75,0.203,15.7,4,0,1,48.9,1
49,65,1738,0.03,5,3,7,94.5,7.4,35.77,472229.28,5513.76,86.11,0.147,13.3,5,1,0,49.4,1
48,28,1844,0.409,19,1,2,73.5,5.5,82.2,409909.38,3512.56,22.65,0.132,16.6,14,0,0,40.3,1
20,2,661,0.093,14,10,0,12.6,7.2,40.73,43956.04,2707.14,20.11,0.247,2.7,19,0,0,32.5,1
46,11,171,0.213,16,4,4,77.2,5.6,27.45,160548.43,2206.5,51.92,0.169,19.2,12,1,0,50.6,1
50,42,902,0.492,13,8,4,19.4,4.2,87.09,981.54,8476.5,13.93,0.418,14.4,21,1,1,16.7,1
16,41,624,0.141,12,6,8,91.5,4.2,5.54,10512.88,1979.56,55.48,0.263,14.4,24,0,0,68.5,1
41,48,434,0.308,11,8,2,95.7,4.9,26.69,364189.35,5011.35,20.83,0.051,16.6,20,0,1,59.1,1
41,36,1592,0.119,27,4,4,79.0,6.2,42.81,106481.71,314.89,31.65,0.288,7.7,15,0,1,10.7,1
32,0,1701,0.454,23,2,1,66.0,6.7,53.93,463085.31,3922.06,13.64,0.354,3.7,26,1,0,55.0,1
21,29,1180,0.1,6,2,4,39.3,7.3,69.8,94108.84,1267.36,65.72,0.062,6.6,12,0,1,74.4,1
30,77,1489,0.237,24,6,2,76.4,4.0,12.27,269970.58,4783.75,41.02,0.4,9.9,27,0,1,83.8,1
6,34,1572,0.334,2,0,6,55.9,2.5,31.72,212019.48,2009.05,62.07,0.076,14.0,21,1,1,41.1,1
38,59,1322,0.394,29,3,4,91.4,3.3,61.28,372306.43,4647.42,64.5,0.496,0.7,3,0,0,84.7,1
28,77,797,0.477,2,9,8,47.5,5.7,33.51,330911.44,6150.43,11.29,0.465,4.3,30,1,0,58.9,1
3,10,301,0.373,9,4,3,37.2,3.6,66.37,115065.17,5626.61,96.79,0.439,14.5,3,0,0,23.4,1
20,4,1182,0.239,22,6,0,65.8,6.5,46.41,378717.26,1928.07,89.01,0.256,8.6,5,0,0,10.9,1
12,75,1390,0.458,4,1,7,90.1,0.5,31.87,259940.31,222.3,83.36,0.202,16.3,16,1,1,99.9,1
50,15,1614,0.306,26,9,6,80.9,5.6,75.19,264040.2,3358.5,75.63,0.176,12.3,24,0,1,38.3,1
14,12,96,0.155,19,8,5,34.0,7.9,90.35,203228.11,9402.55,41.26,0.101,14.0,4,1,1,65.9,1
11,58,1019,0.457,29,10,2,12.7,0.9,15.02,116376.54,6153.55,35.53,0.188,6.4,5,1,0,45.8,1
15,64,446,0.169,13,2,6,53.0,5.3,16.31,312523.53,4564.46,64.91,0.009,6.8,30,1,0,39.2,1
6,6,1552,0.143,30,9,2,17.6,6.3,75.88,194821.45,3592.54,55.83,0.44,19.3,28,1,1,77.7,1
47,18,1669,0.086,19,7,2,67.6,0.1,46.97,434529.69,4677.93,66.16,0.339,11.9,8,0,0,68.6,1
26,73,1442,0.262,18,5,8,15.0,6.0,70.92,27657.42,7703.17,23.39,0.02,2.8,15,1,1,74.0,1
21,32,49,0.246,9,0,2,55.7,6.0,57.97,439988.41,9737.03,54.93,0.413,3.4,5,0,0,82.6,1
7,37,847,0.3,15,1,0,23.0,1.2,72.21,105240.62,4280.0,24.19,0.343,17.7,22,1,0,73.1,1
26,15,1951,0.193,18,4,4,95.7,1.4,28.8,294315.89,2228.07,31.06,0.495,6.4,17,1,1,97.0,1
34,28,1045,0.1,21,5,0,41.8,7.4,90.79,373658.88,6748.65,58.57,0.451,11.4,26,1,0,72.4,1
17,48,191,0.198,29,10,7,79.2,7.1,91.32,371772.61,7195.0,72.76,0.123,15.2,12,1,1,53.3,1
5,29,508,0.116,5,1,1,56.3,7.0,20.07,85244.22,9618.58,32.77,0.472,15.1,26,1,1,55.0,1
18,69,76,0.446,18,2,7,68.7,1.2,73.43,430446.6,2463.89,16.3,0.22,19.2,27,0,1,21.5,1
33,25,193,0.03,16,2,5,75.8,2.5,34.33,274581.58,4478.69,55.45,0.193,7.1,20,0,0,62.2,1
28,44,456,0.112,16,0,6,12.6,3.0,91.63,467471.66,7554.61,47.95,0.458,18.7,26,1,1,18.9,1
14,36,279,0.115,15,4,5,42.1,7.2,93.33,80868.63,9050.28,73.4,0.401,4.8,24,1,1,20.4,1
15,46,672,0.16,17,0,3,89.2,3.4,81.26,305869.94,2337.46,16.51,0.057,2.5,29,0,1,76.4,1
45,29,805,0.474,15,10,8,20.7,1.1,15.98,274339.71,2313.64,59.47,0.119,19.3,10,0,1,88.5,1
23,9,1488,0.413,24,4,7,86.1,4.2,89.5,40154.78,9379.1,86.53,0.447,2.6,29,0,0,90.6,1
23,7,214,0.38,17,0,7,54.8,4.4,6.21,387501.57,465.59,21.11,0.026,8.3,14,0,0,4.0,1
29,33,175,0.025,27,1,7,65.2,6.3,64.21,305704.67,1410.74,68.78,0.273,13.9,16,0,1,53.2,1
14,51,456,0.243,19,3,0,7.8,5.5,72.25,323311.44,300.16,76.36,0.35,18.9,29,1,1,3.9,1
37,51,597,0.285,15,0,2,81.6,2.3,79.61,415683.25,8246.41,21.39,0.399,12.1,11,1,0,57.7,1
9,26,763,0.373,28,2,6,69.3,5.3,32.16,18150.43,4214.01,68.37,0.323,4.6,28,0,1,94.8,1
28,54,204,0.172,16,7,0,31.2,5.7,79.4,83782.81,773.91,29.98,0.381,3.9,16,0,0,65.2,1
40,32,1105,0.485,13,8,5,72.8,2.8,81.86,458683.92,188.71,16.99,0.057,6.9,1,1,1,50.1,1
27,74,53,0.036,29,5,2,20.4,1.9,37.04,269455.3,9446.5,57.6,0.247,10.2,22,0,0,76.6,1
15,0,1457,0.043,5,9,7,87.9,4.0,12.12,359874.14,5245.58,98.95,0.445,9.9,17,0,0,49.7,1
4,36,1198,0.267,9,2,6,89.1,3.4,29.82,113573.52,8258.77,22.98,0.305,1.0,21,0,0,96.7,1
31,61,1273,0.449,25,4,2,76.8,2.7,10.97,143009.13,7644.68,46.8,0.023,11.1,26,1,0,35.0,1
7,48,561,0.048,22,4,7,67.5,1.5,2.03,126283.81,4594.54,24.17,0.054,13.2,13,0,0,7.8,1
19,79,819,0.304,28,0,2,28.3,7.6,32.86,417228.3,3367.09,42.6,0.361,0.2,26,1,1,70.7,1
49,8,643,0.154,23,5,5,10.8,5.3,64.9,237660.67,3748.03,39.79,0.309,10.6,15,0,0,89.6,1
35,46,328,0.09,29,3,1,63.7,4.8,52.91,49802.2,7860.17,55.98,0.239,14.3,23,1,0,68.1,1
12,0,1276,0.076,16,9,5,62.7,7.2,53.73,242807.59,6955.13,10.15,0.152,14.7,12,1,1,4.5,1
7,14,521,0.004,14,3,0,36.1,6.5,9.68,478252.44,6898.21,89.6,0.168,14.5,18,0,1,82.0,1
9,16,209,0.049,15,6,1,10.8,2.1,4.68,194259.96,7479.18,50.23,0.439,4.3,24,1,1,83.2,1
17,25,910,0.137,26,10,1,46.1,0.1,85.04,215019.04,1152.48,54.99,0.061,17.1,21,1,0,77.4,1
39,49,973,0.027,15,7,4,35.9,4.2,16.03,118858.16,2580.47,33.75,0.422,3.8,30,1,0,0.4,1
37,67,966,0.047,8,4,4,70.1,7.1,76.66,249822.12,2624.01,91.23,0.322,10.9,8,0,1,63.2,1
8,51,1499,0.071,28,4,2,23.1,4.0,27.05,136945.43,8052.74,97.27,0.314,10.5,7,0,0,3.1,1
14,42,128,0.122,21,0,2,32.9,3.5,87.27,75177.14,2341.16,30.29,0.108,15.2,24,1,0,22.7,1
24,19,744,0.443,14,6,2,97.1,7.4,35.89,375267.67,4746.51,89.47,0.426,8.0,7,0,1,27.3,1
8,73,524,0.037,6,0,5,37.5,0.2,5.72,397889.48,6715.31,80.25,0.108,7.0,28,0,0,47.8,1
38,0,101,0.011,23,1,6,99.6,1.2,53.01,412452.45,4973.12,96.08,0.283,9.0,11,0,0,34.2,1
43,79,1096,0.373,17,5,4,35.8,5.6,67.64,404609.6,7733.65,56.25,0.31,1.1,24,0,0,57.7,1
24,75,1481,0.18,11,1,8,75.5,7.5,39.16,273894.57,9337.23,88.95,0.363,0.6,30,0,0,72.8,1
44,41,153,0.251,24,8,1,62.4,3.8,44.83,199740.83,9343.38,46.2,0.216,17.3,24,1,1,74.3,1
42,70,1911,0.129,11,10,3,11.9,4.7,14.07,434554.26,5821.57,26.09,0.438,11.0,18,1,1,14.4,1
12,8,412,0.361,28,1,0,35.6,0.8,87.87,468912.67,8759.14,50.15,0.21,4.5,13,0,0,5.8,1
33,60,487,0.381,29,2,4,50.4,1.7,96.86,475856.94,7401.72,24.1,0.422,19.1,30,1,0,20.4,1
12,73,1581,0.283,7,0,6,42.4,1.7,36.62,276670.17,1937.12,62.77,0.076,8.4,2,0,1,46.9,1
13,73,632,0.493,22,3,3,87.5,5.7,69.29,205175.84,3905.79,64.01,0.159,2.6,4,0,1,57.2,1
45,27,261,0.141,16,6,7,15.3,1.8,7.9,42515.6,1805.0,51.4,0.369,3.3,17,1,0,66.9,1
7,10,440,0.355,7,0,6,46.8,1.6,4.42,152342.73,7737.9,36.57,0.07,8.3,27,1,0,8.5,1
36,78,1733,0.357,10,0,6,97.9,7.2,55.55,341969.7,4674.52,21.41,0.476,6.8,10,0,1,49.3,1
18,37,1681,0.119,26,6,4,84.6,4.9,45.94,21794.22,4640.62,59.47,0.054,5.4,2,1,0,49.2,1
11,73,731,0.323,19,7,6,20.6,5.9,1.49,494058.76,6215.27,98.37,0.151,3.6,24,0,1,72.3,1
32,36,986,0.068,16,6,1,79.8,6.1,75.92,408060.72,9946.35,58.35,0.271,2.2,18,1,0,26.9,1
13,1,731,0.415,26,5,4,79.0,3.9,89.52,387682.17,7722.94,67.89,0.181,18.7,30,0,0,83.5,1
34,56,1726,0.304,21,6,2,16.5,5.8,35.87,316698.19,1051.76,72.6,0.402,4.7,21,0,0,64.8,1
15,37,530,0.394,29,3,1,10.8,4.7,28.38,140711.08,1467.82,16.12,0.17,3.7,21,1,1,82.4,1
44,33,264,0.093,6,9,1,62.6,4.3,93.74,94177.13,8866.44,10.76,0.221,13.5,6,1,0,17.9,1
31,17,532,0.104,1,7,5,33.0,7.1,32.29,386588.27,5702.31,24.28,0.308,14.5,3,1,1,3.7,1
37,52,871,0.349,1,0,6,17.3,1.1,65.75,426768.51,6950.68,49.31,0.338,12.9,26,1,1,99.1,1
36,76,1823,0.13,20,0,1,65.6,1.4,4.12,467141.84,1362.11,93.53,0.154,16.8,29,1,0,71.2,1
23,26,872,0.32,23,2,1,93.1,5.6,7.18,429238.34,673.56,33.12,0.333,12.3,24,1,1,34.2,1
44,12,733,0.183,11,4,2,88.5,0.6,3.6,337295.07,4585.66,44.7,0.211,6.8,20,0,1,26.3,1
2,46,1952,0.343,20,4,2,71.1,4.1,97.93,148010.4,6002.92,94.07,0.22,18.6,0,1,0,63.3,1
45,10,1689,0.497,22,0,5,21.1,2.5,65.11,211529.26,5453.37,71.28,0.306,10.0,22,0,0,37.3,1
12,14,1097,0.403,3,3,7,27.2,3.8,49.2,471294.04,1901.82,63.9,0.075,2.5,14,0,0,74.4,1
12,45,1051,0.197,12,2,1,77.3,7.1,38.72,321147.68,3968.92,26.24,0.112,19.6,13,0,0,74.7,1
4,25,502,0.41,21,10,1,93.2,2.9,43.2,342373.42,2438.11,21.26,0.075,5.9,28,0,0,40.7,1
24,79,734,0.445,20,10,2,41.2,6.9,44.6,334132.23,6860.25,61.46,0.392,2.4,25,0,0,61.7,1
35,19,138,0.254,13,9,7,24.3,0.5,17.86,88136.21,7070.31,58.64,0.047,17.4,28,1,1,50.7,1
12,22,373,0.308,29,10,6,36.2,2.4,71.58,118165.29,7204.86,16.24,0.009,17.8,25,0,0,62.7,1
44,45,1841,0.235,12,7,5,62.0,1.2,12.87,201480.32,3279.86,82.78,0.206,17.0,24,0,0,92.5,1
38,6,1185,0.372,13,3,3,98.9,3.0,17.86,197122.5,3916.56,35.43,0.486,12.0,3,0,1,62.8,1
31,71,1319,0.313,4,8,8,8.1,7.3,92.02,231701.34,1732.02,38.53,0.229,13.1,8,1,0,33.8,1
7,36,509,0.342,24,1,2,27.2,7.3,80.5,146482.4,4449.17,93.42,0.04,6.2,6,1,1,24.9,1
43,73,1435,0.179,20,10,0,82.7,6.6,28.85,333888.29,2079.52,22.8,0.264,1.2,25,1,1,69.5,1
21,50,801,0.412,29,5,8,37.8,5.1,23.01,333624.41,3344.86,95.43,0.485,18.8,11,0,1,0.5,1
5,3,615,0.439,19,5,3,54.9,0.1,45.05,260878.63,3153.78,82.24,0.304,11.9,14,0,0,48.6,1
26,61,1399,0.16,23,8,8,8.2,0.5,19.65,284277.78,5754.87,78.26,0.339,0.1,0,1,1,26.5,1
30,34,192,0.381,18,3,1,47.9,4.2,7.68,361449.21,2462.49,68.97,0.159,9.0,17,1,0,50.2,1
46,23,693,0.002,3,2,2,90.9,6.7,89.36,405667.7,1492.19,58.94,0.156,1.6,11,1,1,95.0,1
21,72,1401,0.222,22,3,5,24.7,2.9,10.05,2885.05,4441.59,39.96,0.056,5.8,18,1,0,47.0,1
45,23,795,0.113,24,0,3,16.4,1.9,60.0,219691.06,7364.97,26.55,0.24,15.0,14,1,1,25.2,1
34,1,1507,0.291,12,3,4,51.5,4.8,1.71,469284.15,7588.46,59.07,0.317,16.5,24,1,0,23.1,1
28,70,556,0.225,23,5,0,89.2,7.6,3.26,24775.78,2430.37,76.36,0.172,19.8,15,0,0,7.8,1
44,65,809,0.33,30,4,8,12.5,3.0,39.83,308644.41,4994.53,16.3,0.162,7.6,20,0,1,86.5,1
25,75,1236,0.421,23,5,3,39.3,1.9,93.12,489286.94,7345.05,61.39,0.335,12.0,2,1,1,98.5,1
50,36,569,0.053,17,7,5,40.6,2.0,54.55,486728.46,3542.99,38.15,0.1,7.6,18,1,1,41.9,1
45,70,1352,0.353,11,8,4,60.3,0.6,89.26,456282.25,5259.49,56.39,0.426,0.9,9,0,1,77.1,1
10,66,1332,0.122,17,1,1,13.6,4.2,42.37,48853.67,9721.98,37.2,0.28,17.3,2,0,1,16.5,1
22,22,679,0.379,21,8,5,82.9,6.3,85.26,152738.15,3368.12,96.26,0.455,11.0,23,1,0,22.3,1
